,ds,yhat,yhat_lower,yhat_upper
288,2018-10-16,3524.2453648334576,-1885.7835315602317,8751.491203786543
289,2018-10-17,3597.925818952428,-1898.7047944861793,9071.749927189434
290,2018-10-18,3562.273547742372,-1810.461202909328,8825.163205073492
291,2018-10-19,3664.344669499729,-1638.1922012680939,9233.050496824217
292,2018-10-20,3699.4397741057037,-1647.53166887129,8842.07945612483
293,2018-10-21,3663.3983324375713,-2070.0227493025923,8831.402668807297
294,2018-10-22,3703.646380213666,-1469.1174736987841,8888.252110438596
295,2018-10-23,3658.250825632482,-1646.5900593774356,9012.819225771986
296,2018-10-24,3721.071521715885,-1834.8923386944512,9103.123111580051
297,2018-10-25,3668.3156720392235,-2201.2698627084305,9173.621420764004
298,2018-10-26,3747.9099990835402,-1475.454541207133,9037.293976776018
299,2018-10-27,3756.158316809984,-1848.5923889358123,9059.391086932828
300,2018-10-28,3690.0039588091695,-1673.2174782012091,9469.700621597027
301,2018-10-29,3698.041927142611,-1623.1896575818168,9232.736203753158
302,2018-10-30,3619.535187440806,-1418.819831081896,9165.876854547088
303,2018-10-31,3649.527425301556,-1882.8335373471919,9084.68536889623
304,2018-11-01,3565.3580702085474,-1793.307958416437,8911.209262537557
305,2018-11-02,3594.756406770446,-1973.8888870679539,8799.126631557452
306,2018-11-03,3556.1830325076717,-1671.845374580444,8645.734815638443
307,2018-11-04,3447.340581448796,-1966.8495691580322,8659.6458799688
308,2018-11-05,3417.3984217408924,-1779.6529449898192,8674.736728820091
309,2018-11-06,3305.987371931171,-2311.209088486975,8987.250891766067
310,2018-11-07,3308.2974508930038,-2140.8539027412908,9018.227002128233
311,2018-11-08,3201.5851068369975,-2161.3277675998825,8812.350975886538
312,2018-11-09,3234.507046540588,-1964.634945079194,8435.186854645572
313,2018-11-10,3203.7497569249263,-2019.7503024673047,9017.819759970344
314,2018-11-11,3106.2753293358965,-2308.1053599486445,8542.61169336251
315,2018-11-12,3090.329276722132,-2637.916866433172,8619.683535894683
316,2018-11-13,2994.465227316745,-2829.602373050534,8011.999016916822
317,2018-11-14,3012.6788782594795,-2144.486643520574,8487.964806165664
318,2018-11-15,2920.956682728738,-2245.141108351284,8173.646864956107
