timestamp,Open,High,Low,Close,Volume
2018-07-21,81.83225,84.93,79.28,83.48075,350576.3544324503
2018-07-22,83.43666666666667,84.23100000000002,81.55,82.2,334807.4643486579
2018-07-23,82.18666666666667,85.96,81.1,81.4485,520188.459955602
2018-07-24,81.44539999999998,90.0,80.78,89.21300000000002,890809.5865336021
2018-07-25,89.09333333333332,90.75,84.64,86.37475,564009.5864940889
2018-07-26,86.398,87.95,82.75,83.46825,433288.36303710006
2018-07-27,83.45333333333333,85.15,81.33,84.43666666666667,484788.52730575786
2018-07-28,84.43424999999998,84.78,82.26,84.13616666666665,307773.94847068365
2018-07-29,84.10499999999998,85.52,83.0,83.94650000000001,381822.8947706557
2018-07-30,83.92824999999998,84.82,79.73,82.22000000000001,586054.0001253772
2018-07-31,82.20320000000002,82.63,76.0,78.78366666666666,669569.2895564262
2018-08-01,78.92825,79.15,75.57,77.601,535485.8772492827
2018-08-02,77.6135,78.46,75.33,76.16000000000003,425052.0096444427
2018-08-03,76.1875,77.98,74.66,77.6444,440090.6215405702
2018-08-04,77.5914,78.18,72.01,73.05199999999999,439902.62857527455
2018-08-05,73.04875,74.76,72.188,74.6618,365170.497552778
2018-08-06,74.63,76.84,72.3,73.60624999999997,398911.50236953207
2018-08-07,73.61083333333333,75.5,66.58,67.3462,685010.1090091091
2018-08-08,67.32820000000001,67.54,60.8,62.17875,1016058.0133212141
2018-08-09,62.1912,65.14,59.987,62.9344,708449.984279488
2018-08-10,62.94333333333333,63.36,57.934,59.1595,717089.1869879868
2018-08-11,59.1418,60.32,54.825,57.7632,835880.9327424491
2018-08-12,57.8154,61.8,57.02,59.31775,672828.0108733743
2018-08-13,59.2955,60.67,55.51,56.4775,688524.7858508482
2018-08-14,56.4712,56.54,49.144,54.30933333333334,1142322.0944592615
2018-08-15,54.32719999999999,59.44,53.7,54.35,1251353.8586244727
2018-08-16,54.31966666666667,57.68,54.026,55.34,674201.674516676
2018-08-17,55.37000000000001,62.09,54.99,61.80716666666666,916215.107451829
2018-08-18,61.792,62.6,55.12,57.185,789781.6773247047
2018-08-19,57.159000000000006,59.13,56.08,57.75899999999999,609746.1111732144
2018-08-20,57.79666666666666,58.63,53.106,53.4132,926709.9151984492
2018-08-21,53.40183333333334,56.9,53.15,56.41066666666666,461409.9193786578
2018-08-22,56.43575,59.773,53.82,55.1826,812825.4440509882
2018-08-23,55.187,57.971,54.687,57.30333333333334,441943.9321709544
2018-08-24,57.31275,58.38399999999999,55.487,57.86899999999999,510809.08647480013
2018-08-25,57.864,58.51600000000001,56.93,57.9105,312301.11120615946
2018-08-26,57.901,58.2,55.73,57.0502,360654.47334114445
2018-08-27,57.0682,61.234,56.51,60.6625,538255.1743213629
2018-08-28,60.70066666666666,64.0,59.61,63.1496,682593.8360923532
2018-08-29,63.14666666666667,63.52,60.14,61.48675,527581.1259915566
2018-08-30,61.52,61.75,58.55,60.225,498234.8263642295
2018-08-31,60.2075,62.8,59.44,62.09575,449559.4316284006
2018-09-01,62.11333333333334,68.17,62.06,66.49333333333333,705494.5200342572
2018-09-02,66.458,67.30199999999999,64.03,66.2205,511817.73004593566
2018-09-03,66.2212,66.585,64.21,65.42224999999999,450758.672443789
2018-09-04,65.43475,69.45,65.32,67.64874999999999,694176.8206615379
2018-09-05,67.64466666666667,68.37100000000001,57.4,57.71216666666666,1160773.4947796222
2018-09-06,57.7094,57.94,53.73,57.556,1135826.2844933255
2018-09-07,57.5228,58.93,55.0,55.5954,609730.0027179662
2018-09-08,55.5836,57.28,51.62,53.101000000000006,647017.0848733718
2018-09-09,53.076,56.8,52.06,54.69633333333334,612332.6109565874
2018-09-10,54.75433333333334,56.64,52.93,54.349,636872.9077021991
2018-09-11,54.34566666666668,54.81,49.74,51.98816666666666,815054.3055341659
2018-09-12,51.9675,52.19,47.04,51.66333333333333,994011.2862685438
2018-09-13,51.664,55.6,51.6,54.49466666666667,836362.8789672481
2018-09-14,54.53666666666667,59.0,52.83,56.26000000000001,939620.424545745
2018-09-15,56.264,59.0,55.5,56.3115,631323.8971500818
2018-09-16,56.3498,57.6,54.28,56.77775,538707.004838872
2018-09-17,56.7765,57.941,51.277,52.0835,860631.1281064511
2018-09-18,52.06216666666666,55.91,50.41,53.986,727991.3307508344
2018-09-19,53.97160000000001,55.28,51.54,54.2712,771013.4883990902
2018-09-20,54.3125,57.45,53.28,56.574,595432.0945463483
2018-09-21,56.572,63.0,56.3,60.895,1132106.9114798598
2018-09-22,60.85575,61.98,58.0,60.62525,645433.3368411392
2018-09-23,60.62,63.82,59.76,61.37000000000001,737386.510180766
2018-09-24,61.378,61.56,57.00899999999999,57.96333333333334,761910.6082550065
2018-09-25,57.9815,58.16,54.25,57.573,953472.6135628897
2018-09-26,57.5542,59.97,56.26,57.21533333333334,732943.889453517
2018-09-27,57.248000000000005,65.816,56.5,63.2625,1722933.3359655521
2018-09-28,63.252750000000006,65.0,60.05,61.827,1006047.7961832917
2018-09-29,61.80883333333333,62.39,58.52,61.573,642315.1308312154
2018-09-30,61.57333333333333,63.362,59.48,61.16333333333333,740554.5083420357
2018-10-01,61.21825,62.14,59.08,60.365,633223.8013622032
2018-10-02,60.4145,61.855,58.59,59.30783333333333,564266.1576761579
2018-10-03,59.339,59.68,56.3,57.45,676689.5079050475
2018-10-04,57.49925,59.42,56.52,58.29,542948.3875281115
2018-10-05,58.2398,60.0,57.23,58.79360000000001,475102.9614462808
2018-10-06,58.83425,59.206,56.69,57.88575000000001,429695.07099719654
2018-10-07,57.82033333333334,58.674,56.44,58.19,391173.5775524498
2018-10-08,58.15040000000001,60.26,57.23,59.54375,545957.1090430093
2018-10-09,59.54375,60.0,57.62,58.87725,393286.59625546087
2018-10-10,58.78159999999999,59.18,56.67,58.09840000000001,418600.9223539645
2018-10-11,58.0866,58.66,49.72,50.96,1156381.72819189
2018-10-12,50.94666666666666,54.42,49.82,53.4242,652964.6140874336
2018-10-13,53.25333333333333,54.923,52.37,53.71333333333333,433570.59407994273
2018-10-14,54.05,54.44,50.85,51.91499999999999,424958.2465902073
2018-10-15,52.27425,62.135,50.86,55.30666666666666,1361913.6912766793
2018-10-16,55.48725,57.34,52.45,54.305,472565.11052998714
2018-10-17,54.5568,55.8,52.1,54.6895,441174.9549093514
2018-10-18,54.68375,55.851000000000006,50.95,52.6375,385065.18637345586
2018-10-19,52.92666666666667,54.762,51.44,53.065,332522.4872182255
2018-10-20,53.38975000000001,54.65,51.95,53.9125,278925.4455817276
2018-10-21,53.79,54.982,52.0,53.2865,293333.2436500823
2018-10-22,52.90366666666667,54.214,51.4,52.63333333333333,300755.75206275284
2018-10-23,52.42516666666666,54.0,51.29,52.823,249680.1610102139
2018-10-24,52.82860000000001,54.09,51.7,52.495,210062.55490980903
2018-10-25,52.6096,53.39,51.52,52.45000000000001,184163.3617063935
2018-10-26,52.44666666666666,53.59,51.1,52.29666666666666,270002.45955644833
2018-10-27,52.1375,53.08,51.24,52.03333333333333,170201.4706623999
2018-10-28,52.08825,52.66,51.11,51.90333333333333,168515.6891779489
2018-10-29,51.92,52.26,47.34,48.83933333333334,539348.3630813678
2018-10-30,48.8125,49.96,48.36,49.125,242718.64511900677
2018-10-31,49.24525000000001,50.71,47.59,49.7334,342350.0324486391
2018-11-01,49.99975000000001,50.85,49.35,50.447,224837.83550257492
2018-11-02,50.38983333333334,52.234,50.04,51.55,308660.5173921039
2018-11-03,51.477,51.82,50.29,50.94975,194127.3024662675
2018-11-04,50.875,56.363,50.22,54.29266666666667,619141.5110879308
2018-11-05,54.30966666666666,55.15,52.58,53.80675,421065.4158648568
2018-11-06,53.81650000000001,56.88,53.38,56.30075,493548.0723689182
2018-11-07,56.23299999999999,56.953,53.13,54.2298,461976.0367271457
2018-11-08,54.26333333333334,55.12,51.83,52.49333333333333,355366.99525255733
2018-11-09,52.44079999999999,53.15,51.07,52.118,278109.7681123696
2018-11-10,52.08000000000001,53.08,51.27,52.16,177768.48097431863
2018-11-11,52.312,52.573,49.33,51.16540000000001,301011.8283108836
2018-11-12,51.17833333333332,52.04600000000001,49.93,50.78,259790.47332393896
2018-11-13,51.0175,51.67,48.23,49.655,334895.2291929626
2018-11-14,49.62366666666667,51.433,40.0,43.642,1684315.3894946603
2018-11-15,43.883,45.8,39.41,44.1826,1323793.7785036508
2018-11-16,44.07516666666667,45.0,41.25,42.4356,508370.65607152175
2018-11-17,42.34033333333333,42.964,41.12,42.01175,272445.30285651167
2018-11-18,42.239,43.84,41.5,42.4085,266068.6362613824
2018-11-19,42.417,42.65,34.73,36.45316666666667,1628098.3226836491
2018-11-20,36.5962,38.9,29.19,33.05333333333333,2837227.293744943
2018-11-21,33.029333333333334,35.38,31.0,34.73266666666667,1436593.7169138202
2018-11-22,34.719,35.7,31.1,31.712666666666664,740234.7112567859
2018-11-23,31.7784,34.01,30.31,32.406666666666666,999392.9306117685
2018-11-24,32.49725,34.3,27.67,29.28,1157297.9379647586
2018-11-25,29.15983333333333,32.93,26.31,30.968000000000004,1977622.8066809725
2018-11-26,31.21575,32.88,27.55,29.64033333333333,1781765.9667103156
2018-11-27,29.740200000000005,32.287,28.15,31.2175,1102442.845224126
2018-11-28,31.23833333333333,36.85,30.69,34.745000000000005,1673428.195843122
2018-11-29,34.754,36.006,32.7,33.758199999999995,1150235.451155445
2018-11-30,33.74933333333333,34.666,30.64,32.0685,1016605.1385947999
2018-12-01,31.9425,37.0,30.96,34.092400000000005,810170.4237748897
2018-12-02,34.158,35.772,32.74,33.58316666666667,754280.033836515
2018-12-03,33.62133333333333,34.129,29.49,30.77333333333333,1088485.1989133523
2018-12-04,30.85,32.57,29.5,31.125,741052.9994094756
2018-12-05,31.0062,31.567,28.58,28.99483333333333,819477.262442741
2018-12-06,28.98566666666667,30.679,25.73,26.53066666666666,1342116.4956710832
2018-12-07,26.52916666666667,27.013,22.18,24.94133333333333,2465216.611639858
2018-12-08,24.89983333333333,27.901,22.87,24.4025,1762836.408707848
2018-12-09,24.356,27.602,24.06,25.332500000000003,1056558.282464866
2018-12-10,25.34,26.469,23.47,24.07666666666667,905800.7813203749
2018-12-11,24.24825,25.25,22.72,23.346666666666664,662125.6325164482
2018-12-12,23.45225,25.896,23.01,24.2034,740529.7287600324
